,,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,generation_total_gwh,generation_total_gwh,capacity_factor,capacity_factor
scenario,,integrated_proposal,proposal,integrated_proposal,proposal,integrated_proposal,proposal
capacity_mw_bucket,year,,,,,,
0000-0149,2028,-0.020177309870690663,-0.008941253876690425,-0.02061693459891456,-0.009711413312109785,-0.023575711742859884,-0.010779963981589757
0000-0149,2030,0.12393423646333024,0.13780072176721592,0.1549462856145789,0.11606915350024782,0.11919605167904979,0.12969108683087116
0000-0149,2035,0.20030671036578607,0.03222726021161626,0.28183022397069246,0.008557846526730417,0.7029868744869685,0.008125492711229976
0000-0149,2040,0.22827882106837105,0.006580640739771937,0.33510220912574673,-0.031653913060710526,0.9766938114340362,-0.024886963842661425
0000-0149,2045,0.20294797916109664,0.051332300492512584,0.26554961981479086,0.016254265804330315,1.0032408259513392,0.011969428731102516
0000-0149,2050,0.1732589279149801,0.025659758494048113,0.2685465400544662,0.003092941992934861,0.8467466664236358,0.000491644280948389
0000-0149,2055,0.13231326488228623,0.029217252759668577,0.21286185981936034,0.00321860138951946,0.7854612294496699,0.0266052557620704
0150-0299,2028,-0.00975821438232527,-0.0048583149518852675,-0.009500280089028368,-0.005349972249456769,-0.005356229565586235,-0.005444161215124033
0150-0299,2030,0.13549034376521973,0.21416942436548503,0.10055156490481987,0.14181593260948877,0.09128113130789761,0.11550365524624073
0150-0299,2035,0.20088225878146004,0.0236642790555337,0.19154641027811592,-0.015561968286355587,0.16603116149213992,-0.02967156360290324
0150-0299,2040,0.32101391823679704,0.04117273201560345,0.2716780302018529,-0.024907695681743336,0.23454722038398446,-0.03462848183867473
0150-0299,2045,0.2922305681464039,0.073792441202164,0.27798639041371076,0.08008812251919872,0.2508080517028908,0.07861263433583354
0150-0299,2050,0.2351975769571064,0.06283507130127397,0.1929381189016801,0.06554061293516877,0.1849131795076282,0.0665703851265238
0150-0299,2055,0.29380284388814015,0.15556386348074525,0.25969123184885756,0.14644640292481914,0.24557503331124142,0.13071928476850858
0300-0599,2028,-0.01834179850674289,-0.013238768624186936,-0.01978033018611569,-0.014894400761699567,-0.023634373467857128,-0.01598782425427636
0300-0599,2030,0.06799265421372924,0.07400495991577771,0.04022537974955043,0.060368120888540044,0.04697534628172573,0.06467769347063235
0300-0599,2035,0.24022589523975157,0.0357681640211569,0.1829731394737748,0.03015690636742141,0.13272364273434056,0.025660813323165277
0300-0599,2040,0.3223847927916379,0.01982086136898431,0.22362106064731346,-0.008163992653822283,0.18197258096739155,-0.012862610293520427
0300-0599,2045,0.32204630921513777,0.050331733849995564,0.2789591730358729,0.061921952778601685,0.23324716726391226,0.055385499247454284
0300-0599,2050,0.2664265143483391,0.05127164774688642,0.20437767974107057,0.04100540649873241,0.1681440718645122,0.03828378708618829
0300-0599,2055,0.3015717223997596,0.06586959709664808,0.23741435531319754,0.053740863037889275,0.18925256887949304,0.041313201372839226
0600-1199,2028,-0.01915764609128101,-0.01548391801690141,-0.019308526396407233,-0.01562726132749337,-0.019801071433284245,-0.015665133869395387
0600-1199,2030,0.08418703362157332,0.07916003077655276,0.05966343807598973,0.053865950756103675,-0.010399938302473877,-0.007434354761617579
0600-1199,2035,0.04049420366978773,0.06920389157675388,-0.010627786101953252,0.04412062625788771,-0.09517831460145909,0.00042047772826503405
0600-1199,2040,0.10655092198964033,0.07684596549935518,0.03802554048956708,0.04421529858220641,-0.03849903951371314,-0.0006171998850817983
0600-1199,2045,0.17666198508652498,0.055558906439462596,0.12379084932109352,0.04631788935719272,0.03784617770833276,0.0021823576917405774
0600-1199,2050,0.13162837585965015,0.0656077609138832,0.08120362417584692,0.04686212108152965,0.006173257971774815,0.0044333169808885575
0600-1199,2055,0.15159577589128692,0.09569273616192064,0.10492902386659186,0.07647115561156936,0.02852456972721762,0.029314373664894866
1200-2399,2028,-0.003158027568845312,0.002800782890108655,-0.003128558139109283,0.002601443489289146,-0.0038276452725222176,0.0022585363428637706
1200-2399,2030,0.03834735050487925,0.048752682443661044,0.0392613712645693,0.04743454750621079,0.01270491059920098,0.020900187815149573
1200-2399,2035,-0.3446802739860402,0.04506107625946876,-0.35919214557758017,0.042951512205773534,-0.24068164610771658,0.008491253495316098
1200-2399,2040,-0.28041905676207457,0.02619577572282461,-0.2956859901757445,0.02500188540717385,-0.16194849983120363,-0.0037324523173045687
1200-2399,2045,-0.2794816243100907,0.023946229356450743,-0.2907500505130918,0.02364109217883681,-0.16143100624670692,-0.008345706216899229
1200-2399,2050,-0.3041399475059823,0.046364707687344575,-0.3175227104181054,0.04238339262577995,-0.16366994522549028,0.008564527449391957
1200-2399,2055,-0.22752483042893878,0.0457528066402888,-0.23953865504726402,0.04536210701972232,-0.11508775675145921,0.005895072714970695
2400-3599,2028,-0.046768328469941056,0.001565009329520528,-0.03268710997392876,0.0010756464185781578,-0.03345507026507988,0.0011023352512009588
2400-3599,2030,0.10662198424516056,0.1058045976816544,0.06943393767637995,0.07045088458324966,0.07125517494125533,0.07218228770030866
2400-3599,2035,-1.0,-0.01303737084374701,-1.0,-0.01303737084374601,-1.0,-0.01303737084374601
2400-3599,2040,-1.0,0.1291838215772214,-1.0,0.12918382157721986,-1.0,0.12918382157721964
2400-3599,2045,-1.0,0.14614753972100947,-1.0,0.1461475397210079,-1.0,0.14614753972100814
2400-3599,2050,-1.0,0.4394187959195226,-1.0,0.4394187959195224,-1.0,0.4394187959195224
2400-3599,2055,-1.0,0.3434361168609783,-1.0,0.3434361168609785,-1.0,0.3434361168609785
3600+,2028,0.0,0.0,0.0,0.0,0.0,0.0
3600+,2030,0.0,0.0,0.0,0.0,0.0,0.0
3600+,2035,-0.41138369887768766,0.0,-0.411383698877686,0.0,-0.411071849181727,0.0
3600+,2040,-0.4113836988786489,0.0,-0.4113836988786471,0.0,-0.4110718491826888,0.0
3600+,2045,-0.41138369891585014,0.0,-0.4113836989158485,0.0,-0.4110718492199098,0.0
3600+,2050,-0.1706142766399389,0.20551946781452357,-0.170614276639938,0.20551946781452402,-0.1701748669851776,0.20551946781452402
3600+,2055,-0.0805231032880176,0.42623816024871397,-0.08052310328801815,0.4262381602487171,-0.08003596321029005,0.4262381602487171
New,2028,0.1412210471583153,0.10007747807634937,0.14439242627753934,0.1019111620310269,0.012143559399246717,0.009636038868251262
New,2030,0.15999975301492864,0.13385164607322708,0.16308974929347553,0.12300955349692821,0.060867786146309166,0.053156844812954684
New,2035,-0.11725509633557796,-0.16341954379341028,-0.04968428009867565,-0.18484747863533024,-0.13636282235897002,-0.2048485508935115
New,2040,-0.3371753801315276,-0.16427942657482064,-0.26547246226269605,-0.17849990046758824,-0.07313044833111493,-0.08416164393186465
New,2045,-0.25491007145810396,-0.1351441317838894,-0.1854714552856338,-0.14763920655209484,0.13892763585884382,0.053878297634686545
New,2050,-0.2045630079738774,-0.13072686457639848,-0.15534961677025882,-0.14790994190604012,0.15253773845348184,0.06725616533717194
New,2055,-0.21051030133351523,-0.18572825300225893,-0.1838367810179823,-0.21049542937015098,0.22423485421406508,0.10116486911896994
total,2028,0.004247054142362039,0.0035513607295343252,0.007410720106395985,0.0053367598904141555,-0.008494660429616108,-0.0018730300274865108
total,2030,0.08668716397141951,0.08863258790329698,0.07133918673595341,0.06982087883217725,0.08052742836220061,0.09027730041459825
total,2035,-0.016897082472383418,0.009593254614785884,-0.03330335335052814,-0.009389596488887708,0.204491663726019,0.0007454852438846249
total,2040,-0.02875247041056672,-0.0008365407639622235,-0.05366410765040597,-0.02478259401086913,0.2785835565787109,-0.003380511544011422
total,2045,-0.013165146745494405,-0.00033522865875013075,-0.01960579116527883,-0.006119706072125863,0.3374991809688961,0.04517362231748234
total,2050,-0.02158151026086841,0.0070316513440062955,-0.032992205698877286,-0.006304638706632559,0.2878816714370125,0.04197392834248537
total,2055,-0.015132861327950109,-0.004353985649668601,-0.02851545072536632,-0.020255464234867904,0.3033397677370562,0.06724008737650977
